ingredient,category,subcategory,diabetes_tag
oats,grain,whole_grain,low_gi
poha,grain,refined_grain,medium_gi
semolina,grain,refined_grain,medium_gi
brown_rice,carb,whole_grain,low_gi
white_rice,carb,refined_grain,high_gi
basmati_rice,carb,refined_grain,medium_gi
quinoa,grain,whole_grain,low_gi
barley,grain,whole_grain,low_gi
millet,grain,whole_grain,low_gi
ragi,grain,millet,low_gi
bajra,grain,millet,low_gi
jowar,grain,millet,low_gi
whole_wheat_flour,grain,whole_grain,low_gi
whole_wheat_roti,carb,whole_grain,low_gi
white_bread,grain,refined_grain,high_gi
brown_bread,grain,whole_grain,medium_gi
egg,protein,animal_protein,low_carb
egg_white,protein,animal_protein,low_carb
chicken_breast,protein,lean_meat,low_carb
chicken_thigh,protein,meat,low_carb
fish,protein,lean_meat,low_carb
salmon,protein,fatty_fish,low_carb
tuna,protein,lean_meat,low_carb
mutton,protein,red_meat,low_carb
paneer,protein,dairy_protein,low_carb
tofu,protein,plant_protein,low_carb
tempeh,protein,plant_protein,low_carb
greek_yogurt,dairy,fermented_dairy,low_gi
curd,dairy,fermented_dairy,low_gi
milk,dairy,liquid_dairy,medium_gi
soy_milk,dairy,plant_milk,low_gi
lentils,protein,legume,medium_carb
chickpeas,protein,legume,medium_carb
kidney_beans,protein,legume,medium_carb
black_beans,protein,legume,medium_carb
green_gram,protein,legume,medium_carb
split_peas,protein,legume,medium_carb
soybeans,protein,legume,low_carb
spinach,vegetable,leafy_veg,very_low_carb
fenugreek_leaves,vegetable,leafy_veg,very_low_carb
lettuce,vegetable,leafy_veg,very_low_carb
cabbage,vegetable,cruciferous,very_low_carb
broccoli,vegetable,cruciferous,very_low_carb
cauliflower,vegetable,cruciferous,very_low_carb
carrot,vegetable,root_veg,medium_gi
beetroot,vegetable,root_veg,medium_gi
radish,vegetable,root_veg,low_gi
sweet_potato,vegetable,root_veg,medium_gi
potato,vegetable,root_veg,high_gi
onion,vegetable,bulb_veg,low_carb
garlic,vegetable,bulb_veg,low_carb
ginger,vegetable,root,low_carb
tomato,vegetable,salsa_veg,low_carb
cucumber,vegetable,salad_veg,very_low_carb
bell_pepper,vegetable,salad_veg,low_carb
zucchini,vegetable,salad_veg,low_carb
eggplant,vegetable,nightshade,low_carb
okra,vegetable,legume_veg,low_carb
green_beans,vegetable,legume_veg,low_carb
peas,vegetable,legume_veg,medium_carb
pumpkin,vegetable,gourd,medium_gi
bottle_gourd,vegetable,gourd,very_low_carb
ridge_gourd,vegetable,gourd,very_low_carb
bitter_gourd,vegetable,gourd,low_gi
apple,fruit,low_gi_fruit,low_gi
banana,fruit,medium_gi_fruit,medium_gi
orange,fruit,citrus_fruit,low_gi
sweet_lime,fruit,citrus_fruit,low_gi
pear,fruit,low_gi_fruit,low_gi
guava,fruit,low_gi_fruit,low_gi
papaya,fruit,medium_gi_fruit,medium_gi
pineapple,fruit,medium_gi_fruit,medium_gi
watermelon,fruit,high_gi_fruit,high_gi
mango,fruit,high_gi_fruit,high_gi
pomegranate,fruit,low_gi_fruit,low_gi
berries,fruit,low_gi_fruit,low_gi
almonds,healthy_fat,nuts,low_carb
walnuts,healthy_fat,nuts,low_carb
cashews,healthy_fat,nuts,low_carb
pistachios,healthy_fat,nuts,low_carb
peanuts,healthy_fat,nuts,low_carb
chia_seeds,healthy_fat,seeds,low_carb
flax_seeds,healthy_fat,seeds,low_carb
pumpkin_seeds,healthy_fat,seeds,low_carb
sunflower_seeds,healthy_fat,seeds,low_carb
olive_oil,healthy_fat,oil,low_carb
mustard_oil,healthy_fat,oil,low_carb
coconut_oil,healthy_fat,oil,low_carb
ghee,healthy_fat,animal_fat,low_carb
butter,healthy_fat,animal_fat,low_carb
peanut_butter,healthy_fat,nut_spread,low_carb
honey,sweetener,natural_sugar,high_gi
jaggery,sweetener,natural_sugar,high_gi
sugar,sweetener,refined_sugar,high_gi
